job_id,title,company,location,industry,salary_min,salary_max,experience_level,experience_years_min,experience_years_max,company_size,employment_type,remote_option,required_skills,posted_date,application_deadline,source,data_collection_date,dataset_version,salary_avg,salary_category
JOB_0001,Database Administrator,Dana,Hybrid,Transportation,4000000,8000000,Junior,0.0,2.0,Medium (50-500),Full-time,Remote,"Git, Spring Boot, Vue.js",2025-03-15 05:34:48.254323,2025-07-11 05:34:48.254323,generated,2025-05-27 05:34:48.519446,1.0,6000000.0,Entry (2-5M)
JOB_0002,Scrum Master,Multinational Corp,Solo,Consulting,4000000,6000000,Junior,0.0,2.0,Startup (<50),Full-time,On-site,"C#, GCP, Node.js, Python, Vue.js, Elasticsearch",2025-03-03 05:34:48.254323,2025-06-18 05:34:48.254323,generated,2025-05-27 05:34:48.519446,1.0,5000000.0,Entry (2-5M)
JOB_0003,Product Manager,Grab,Semarang,E-commerce,14000000,16000000,Mid,3.0,6.0,Large (500+),Full-time,On-site,"Flask, PHP, Nginx, Terraform, Express.js, Django",2025-03-10 05:34:48.254323,2025-06-05 05:34:48.254323,generated,2025-05-27 05:34:48.519446,1.0,15000000.0,Senior (10-15M)
JOB_0004,Scrum Master,OVO,Makassar,Government,9000000,13000000,Mid,3.0,6.0,Medium (50-500),Full-time,On-site,"MySQL, Java, React, Flask, Azure",2025-03-26 05:34:48.254323,2025-07-24 05:34:48.254323,generated,2025-05-27 05:34:48.519446,1.0,11000000.0,Mid (5-10M)
JOB_0005,DevOps Engineer,Dana,Makassar,Government,6000000,9000000,Junior,0.0,2.0,Startup (<50),Full-time,On-site,"Jenkins, Flask, PHP, Django, Redis",2025-04-13 05:34:48.254323,2025-06-28 05:34:48.254323,generated,2025-05-27 05:34:48.519446,1.0,7500000.0,Mid (5-10M)
JOB_0006,Database Administrator,Government Agency,Yogyakarta,Food & Beverage,21000000,26000000,Senior,7.0,15.0,Medium (50-500),Part-time,On-site,"Node.js, C#, Elasticsearch, Docker, Laravel",2025-05-11 05:34:48.254323,2025-06-28 05:34:48.254323,generated,2025-05-27 05:34:48.519446,1.0,23500000.0,Expert (15M+)
JOB_0007,Security Engineer,Gojek,Solo,E-commerce,18000000,23000000,Senior,7.0,15.0,Large (500+),Full-time,Hybrid,"Docker, Spring Boot, Redis, C#, Ruby",2025-03-27 05:34:48.254323,2025-07-13 05:34:48.254323,generated,2025-05-27 05:34:48.519446,1.0,20500000.0,Expert (15M+)
JOB_0008,Scrum Master,E-commerce Platform,Jakarta,Education,8400000,13400000,Junior,0.0,2.0,Medium (50-500),Contract,Remote,"Angular, AWS, Ruby",2025-05-21 05:34:48.254323,2025-07-07 05:34:48.254323,generated,2025-05-27 05:34:48.519446,1.0,10900000.0,Mid (5-10M)
JOB_0009,Security Engineer,Bank Digital,Bali,Transportation,12000000,16000000,Mid,3.0,6.0,Large (500+),Contract,On-site,"GCP, PHP, Django",2025-05-14 05:34:48.257876,2025-06-09 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,14000000.0,Senior (10-15M)
JOB_0010,Software Developer,Dana,Yogyakarta,Healthcare,12000000,16000000,Mid,3.0,6.0,Startup (<50),Full-time,Remote,"Flask, JavaScript, Kubernetes, Terraform, Java",2025-04-27 05:34:48.257876,2025-06-21 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,14000000.0,Senior (10-15M)
JOB_0011,Full Stack Developer,Grab,Surabaya,Transportation,15400000,17400000,Mid,3.0,6.0,Startup (<50),Full-time,On-site,"Go, Jenkins, JavaScript, GCP",2025-03-19 05:34:48.257876,2025-07-08 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,16400000.0,Expert (15M+)
JOB_0012,Software Developer,Blibli,Palembang,Education,4800000,9800000,Junior,0.0,2.0,Startup (<50),Full-time,On-site,"Flask, Redis, Go, PHP, Vue.js, FastAPI",2025-03-14 05:34:48.257876,2025-06-28 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,7300000.0,Entry (2-5M)
JOB_0013,UI/UX Designer,Traveloka,Lampung,Consulting,4800000,6800000,Junior,0.0,2.0,Medium (50-500),Contract,On-site,"MongoDB, Azure, JavaScript",2025-02-27 05:34:48.257876,2025-06-24 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,5800000.0,Entry (2-5M)
JOB_0014,Backend Developer,Digital Consulting,Jakarta,Government,7200000,11200000,Junior,0.0,2.0,Startup (<50),Full-time,Hybrid,"React, Node.js, Go, Kubernetes, Vue.js, Python",2025-05-20 05:34:48.257876,2025-07-18 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,9200000.0,Mid (5-10M)
JOB_0015,Business Analyst,Gojek,Lampung,Transportation,7200000,9200000,Mid,3.0,6.0,Startup (<50),Part-time,On-site,"Kubernetes, Express.js, Spring Boot",2025-03-25 05:34:48.257876,2025-07-21 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,8200000.0,Mid (5-10M)
JOB_0016,DevOps Engineer,Digital Consulting,Medan,Transportation,4000000,9000000,Junior,0.0,2.0,Medium (50-500),Part-time,On-site,"Nginx, Elasticsearch, Docker, Terraform, Ruby",2025-03-24 05:34:48.257876,2025-06-29 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,6500000.0,Entry (2-5M)
JOB_0017,Software Developer,Software House,Lampung,Healthcare,6400000,8400000,Mid,3.0,6.0,Large (500+),Full-time,Remote,"PHP, React, Git",2025-03-07 05:34:48.257876,2025-06-07 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,7400000.0,Mid (5-10M)
JOB_0018,Full Stack Developer,Blibli,Surabaya,Consulting,22000000,25000000,Senior,7.0,15.0,Medium (50-500),Full-time,On-site,"Terraform, Angular, Jenkins",2025-03-24 05:34:48.257876,2025-07-06 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,23500000.0,Expert (15M+)
JOB_0019,Technical Lead,Healthcare Tech,Bandung,Fintech,5500000,10500000,Junior,0.0,2.0,Medium (50-500),Full-time,Hybrid,"Elasticsearch, MySQL, Python, Redis",2025-03-21 05:34:48.257876,2025-06-29 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,8000000.0,Mid (5-10M)
JOB_0020,Full Stack Developer,Multinational Corp,Batam,Consulting,9000000,11000000,Mid,3.0,6.0,Startup (<50),Full-time,Remote,"Docker, Laravel, Git, Redis, AWS, C#",2025-05-20 05:34:48.257876,2025-06-05 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,10000000.0,Mid (5-10M)
JOB_0021,Technical Lead,Software House,Malang,Fintech,28000000,31000000,Senior,7.0,15.0,Medium (50-500),Full-time,On-site,"PostgreSQL, Azure, Flask, Nginx, Docker",2025-05-01 05:34:48.257876,2025-07-06 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,29500000.0,Expert (15M+)
JOB_0022,DevOps Engineer,Blibli,Batam,Government,6000000,8000000,Junior,0.0,2.0,Startup (<50),Full-time,On-site,"FastAPI, Elasticsearch, Django, MySQL, Laravel, Angular",2025-05-22 05:34:48.257876,2025-06-08 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,7000000.0,Mid (5-10M)
JOB_0023,Software Developer,Government Agency,Surabaya,E-commerce,19800000,22800000,Senior,7.0,15.0,Large (500+),Full-time,Remote,"Flask, Elasticsearch, FastAPI, Spring Boot, Redis",2025-04-07 05:34:48.257876,2025-06-16 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,21300000.0,Expert (15M+)
JOB_0024,Data Analyst,Digital Consulting,Lampung,Healthcare,20000000,24000000,Senior,7.0,15.0,Large (500+),Full-time,On-site,"MongoDB, Azure, Laravel",2025-04-06 05:34:48.257876,2025-07-11 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,22000000.0,Expert (15M+)
JOB_0025,UI/UX Designer,Healthcare Tech,Surabaya,Media,5500000,8500000,Junior,0.0,2.0,Startup (<50),Full-time,Remote,"Java, Linux, Redis, FastAPI, Express.js, Node.js",2025-04-21 05:34:48.257876,2025-07-08 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,7000000.0,Mid (5-10M)
JOB_0026,Database Administrator,Sea Group,Semarang,Media,10000000,13000000,Mid,3.0,6.0,Startup (<50),Full-time,On-site,"Git, Ruby, Spring Boot, JavaScript, Redis",2025-05-26 05:34:48.257876,2025-07-18 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,11500000.0,Mid (5-10M)
JOB_0027,Backend Developer,Tokopedia,Remote,Food & Beverage,6000000,10000000,Junior,0.0,2.0,Startup (<50),Full-time,On-site,"PostgreSQL, Django, GCP",2025-04-28 05:34:48.257876,2025-07-15 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,8000000.0,Mid (5-10M)
JOB_0028,Security Engineer,OVO,Bandung,E-commerce,12100000,17100000,Mid,3.0,6.0,Medium (50-500),Full-time,Hybrid,"Angular, Azure, C#, Vue.js, Node.js",2025-05-24 05:34:48.257876,2025-07-04 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,14600000.0,Senior (10-15M)
JOB_0029,Data Analyst,Tokopedia,Remote,Gaming,7200000,11200000,Junior,0.0,2.0,Startup (<50),Full-time,Remote,"Angular, MongoDB, Ruby",2025-04-24 05:34:48.257876,2025-06-25 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,9200000.0,Mid (5-10M)
JOB_0030,Backend Developer,Multinational Corp,Surabaya,Fintech,29700000,31700000,Senior,7.0,15.0,Large (500+),Full-time,On-site,"Express.js, PHP, MySQL, Django",2025-05-05 05:34:48.257876,2025-07-15 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,30700000.0,Expert (15M+)
JOB_0031,Product Manager,Gojek,Palembang,Gaming,7200000,9200000,Mid,3.0,6.0,Startup (<50),Contract,On-site,"Java, Node.js, Express.js, PostgreSQL, Flask, MySQL",2025-03-23 05:34:48.257876,2025-07-23 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,8200000.0,Mid (5-10M)
JOB_0032,Database Administrator,Dana,Palembang,Education,4800000,6800000,Junior,0.0,2.0,Large (500+),Full-time,Hybrid,"AWS, Laravel, Redis, Flask, Go",2025-04-15 05:34:48.257876,2025-06-27 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,5800000.0,Entry (2-5M)
JOB_0033,Full Stack Developer,Digital Consulting,Bandung,Healthcare,6600000,9600000,Junior,0.0,2.0,Startup (<50),Full-time,On-site,"PHP, Kubernetes, Redis, Java, Python",2025-03-02 05:34:48.257876,2025-06-09 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,8100000.0,Mid (5-10M)
JOB_0034,Data Scientist,Healthcare Tech,Makassar,Media,4000000,7000000,Junior,0.0,2.0,Medium (50-500),Full-time,Hybrid,"PostgreSQL, Express.js, MongoDB, Azure, Vue.js, Go",2025-05-11 05:34:48.257876,2025-07-17 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,5500000.0,Entry (2-5M)
JOB_0035,Frontend Developer,Sea Group,Bandung,Fintech,14300000,17300000,Mid,3.0,6.0,Startup (<50),Full-time,On-site,"Azure, Node.js, Go, Kubernetes, Git, Vue.js",2025-02-28 05:34:48.257876,2025-06-06 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,15800000.0,Senior (10-15M)
JOB_0036,Full Stack Developer,Local Tech Startup,Semarang,Food & Beverage,5000000,9000000,Junior,0.0,2.0,Large (500+),Contract,Remote,"Git, FastAPI, MySQL",2025-03-27 05:34:48.257876,2025-07-14 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,7000000.0,Entry (2-5M)
JOB_0037,Security Engineer,Bukalapak,Remote,Healthcare,10800000,13800000,Mid,3.0,6.0,Medium (50-500),Full-time,On-site,"GCP, PostgreSQL, Python, PHP, MongoDB, Ruby",2025-03-19 05:34:48.257876,2025-06-15 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,12300000.0,Senior (10-15M)
JOB_0038,Frontend Developer,Dana,Batam,Fintech,22000000,27000000,Senior,7.0,15.0,Medium (50-500),Full-time,Hybrid,"Express.js, Jenkins, Laravel, Linux, PostgreSQL",2025-05-15 05:34:48.257876,2025-07-11 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,24500000.0,Expert (15M+)
JOB_0039,Security Engineer,Grab,Remote,E-commerce,4800000,9800000,Junior,0.0,2.0,Startup (<50),Full-time,Remote,"Django, Node.js, GCP, Terraform, Kubernetes",2025-04-05 05:34:48.257876,2025-06-14 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,7300000.0,Entry (2-5M)
JOB_0040,DevOps Engineer,Fintech Company,Jakarta,Healthcare,7200000,11200000,Junior,0.0,2.0,Medium (50-500),Full-time,On-site,"Angular, Elasticsearch, GCP",2025-04-19 05:34:48.257876,2025-06-17 05:34:48.257876,generated,2025-05-27 05:34:48.519446,1.0,9200000.0,Mid (5-10M)
JOB_0041,QA Engineer,Multinational Corp,Jakarta,Media,12000000,17000000,Mid,3.0,6.0,Startup (<50),Contract,Hybrid,"Python, React, Docker, Django, JavaScript",2025-03-11 05:34:48.264502,2025-06-19 05:34:48.264502,generated,2025-05-27 05:34:48.519446,1.0,14500000.0,Senior (10-15M)
JOB_0042,Business Analyst,Bank Digital,Remote,Food & Beverage,6000000,11000000,Junior,0.0,2.0,Medium (50-500),Full-time,Hybrid,"AWS, Java, Linux",2025-05-12 05:34:48.264502,2025-07-06 05:34:48.264502,generated,2025-05-27 05:34:48.519446,1.0,8500000.0,Mid (5-10M)
JOB_0043,Mobile Developer,Local Tech Startup,Jakarta,Healthcare,8400000,12400000,Junior,0.0,2.0,Startup (<50),Contract,On-site,"Python, Elasticsearch, Django, Git, AWS, Redis",2025-04-12 05:34:48.264502,2025-06-10 05:34:48.264502,generated,2025-05-27 05:34:48.519446,1.0,10400000.0,Mid (5-10M)
JOB_0044,QA Engineer,Multinational Corp,Makassar,Food & Beverage,19000000,22000000,Senior,7.0,15.0,Medium (50-500),Full-time,Remote,"Terraform, Node.js, Go, Django, Kubernetes",2025-04-23 05:34:48.264502,2025-07-08 05:34:48.264502,generated,2025-05-27 05:34:48.519446,1.0,20500000.0,Expert (15M+)
JOB_0045,QA Engineer,Bukalapak,Surabaya,Fintech,9900000,14900000,Mid,3.0,6.0,Large (500+),Full-time,Hybrid,"Elasticsearch, Jenkins, Nginx, Git, MongoDB, Node.js",2025-05-22 05:34:48.264502,2025-06-03 05:34:48.264502,generated,2025-05-27 05:34:48.519446,1.0,12400000.0,Mid (5-10M)
JOB_0046,Technical Lead,Local Tech Startup,Batam,Consulting,11000000,15000000,Mid,3.0,6.0,Medium (50-500),Full-time,Remote,"Linux, Ruby, Flask, Java, Spring Boot, Redis",2025-05-01 05:34:48.264502,2025-07-01 05:34:48.264502,generated,2025-05-27 05:34:48.519446,1.0,13000000.0,Senior (10-15M)
JOB_0047,Full Stack Developer,Blibli,Medan,E-commerce,10000000,12000000,Mid,3.0,6.0,Medium (50-500),Full-time,On-site,"PHP, Vue.js, Elasticsearch, Java",2025-04-23 05:34:48.264502,2025-06-03 05:34:48.264502,generated,2025-05-27 05:34:48.519446,1.0,11000000.0,Mid (5-10M)
JOB_0048,System Administrator,Multinational Corp,Malang,Fintech,24000000,26000000,Senior,7.0,15.0,Large (500+),Contract,Hybrid,"Kubernetes, Nginx, Ruby, FastAPI, Angular",2025-05-08 05:34:48.264502,2025-06-08 05:34:48.264502,generated,2025-05-27 05:34:48.519446,1.0,25000000.0,Expert (15M+)
JOB_0049,Product Manager,Local Tech Startup,Lampung,E-commerce,21600000,26600000,Senior,7.0,15.0,Startup (<50),Full-time,On-site,"GCP, Terraform, Jenkins",2025-05-02 05:34:48.264502,2025-06-14 05:34:48.264502,generated,2025-05-27 05:34:48.519446,1.0,24100000.0,Expert (15M+)
JOB_0050,Technical Lead,Digital Consulting,Semarang,Education,7000000,11000000,Junior,0.0,2.0,Medium (50-500),Full-time,Hybrid,"Python, React, Laravel, Ruby, Vue.js, Angular",2025-04-27 05:34:48.264502,2025-06-20 05:34:48.264502,generated,2025-05-27 05:34:48.519446,1.0,9000000.0,Mid (5-10M)
JOB_0051,Database Administrator,OVO,Yogyakarta,Consulting,4000000,8000000,Junior,0.0,2.0,Medium (50-500),Full-time,On-site,"GCP, C#, Go, AWS",2025-05-08 05:34:48.264502,2025-07-08 05:34:48.264502,generated,2025-05-27 05:34:48.519446,1.0,6000000.0,Entry (2-5M)
JOB_0052,Business Analyst,Healthcare Tech,Lampung,Education,7200000,10200000,Mid,3.0,6.0,Medium (50-500),Full-time,On-site,"Go, PHP, Terraform, PostgreSQL, Jenkins",2025-03-13 05:34:48.264502,2025-07-11 05:34:48.264502,generated,2025-05-27 05:34:48.519446,1.0,8700000.0,Mid (5-10M)
JOB_0053,Backend Developer,Shopee,Surabaya,Consulting,5500000,10500000,Junior,0.0,2.0,Startup (<50),Full-time,On-site,"Express.js, Node.js, Git",2025-03-01 05:34:48.264502,2025-07-02 05:34:48.264502,generated,2025-05-27 05:34:48.519446,1.0,8000000.0,Mid (5-10M)
JOB_0054,Backend Developer,Blibli,Solo,Government,5000000,9000000,Junior,0.0,2.0,Medium (50-500),Full-time,Remote,"Azure, AWS, Node.js, Angular, Kubernetes, Express.js",2025-05-13 05:34:48.264502,2025-07-08 05:34:48.264502,generated,2025-05-27 05:34:48.519446,1.0,7000000.0,Entry (2-5M)
JOB_0055,Data Analyst,Grab,Batam,Transportation,5000000,8000000,Junior,0.0,2.0,Large (500+),Full-time,On-site,"Django, Vue.js, Redis, GCP, Flask, Jenkins",2025-03-22 05:34:48.264502,2025-06-29 05:34:48.264502,generated,2025-05-27 05:34:48.519446,1.0,6500000.0,Entry (2-5M)
JOB_0056,Business Analyst,Sea Group,Remote,Government,10800000,13800000,Mid,3.0,6.0,Startup (<50),Contract,Hybrid,"Ruby, Nginx, Terraform, Node.js",2025-04-26 05:34:48.264502,2025-07-23 05:34:48.264502,generated,2025-05-27 05:34:48.519446,1.0,12300000.0,Senior (10-15M)
JOB_0057,Data Analyst,Local Tech Startup,Palembang,Fintech,7200000,9200000,Mid,3.0,6.0,Medium (50-500),Full-time,Remote,"Docker, Angular, GCP",2025-05-20 05:34:48.264502,2025-06-29 05:34:48.264502,generated,2025-05-27 05:34:48.519446,1.0,8200000.0,Mid (5-10M)
