technology,country,experience_years,salary_usd,company_size,salary_idr
Python,Singapore,1,59302,Large,889530000
Node.js,Singapore,1,59302,Large,889530000
Express.js,Singapore,1,59302,Large,889530000
Django,Singapore,1,59302,Large,889530000
React,Singapore,1,59302,Large,889530000
TypeScript,Singapore,1,59302,Large,889530000
JavaScript,Malaysia,6,18497,Medium,277455000
Kubernetes,Malaysia,6,18497,Medium,277455000
Express.js,Malaysia,6,18497,Medium,277455000
Laravel,Malaysia,6,18497,Medium,277455000
Docker,Malaysia,6,18497,Medium,277455000
Git,Malaysia,6,18497,Medium,277455000
MySQL,Malaysia,6,18497,Medium,277455000
MySQL,Indonesia,5,48134,Large,722010000
Angular,Indonesia,5,48134,Large,722010000
Node.js,Indonesia,5,48134,Large,722010000
Git,Indonesia,5,48134,Large,722010000
C#,Malaysia,7,52632,Small,789480000
PHP,Malaysia,7,52632,Small,789480000
Vue.js,Malaysia,7,52632,Small,789480000
Linux,Malaysia,7,52632,Small,789480000
MongoDB,Malaysia,7,52632,Small,789480000
Java,Malaysia,7,52632,Small,789480000
Node.js,Malaysia,7,52632,Small,789480000
React,Malaysia,7,52632,Small,789480000
React,Malaysia,2,82331,Small,1234965000
Python,Malaysia,2,82331,Small,1234965000
PostgreSQL,Malaysia,2,82331,Small,1234965000
MongoDB,Malaysia,2,82331,Small,1234965000
PHP,Malaysia,2,82331,Small,1234965000
Kubernetes,Malaysia,2,82331,Small,1234965000
Git,Malaysia,2,82331,Small,1234965000
TypeScript,Malaysia,2,82331,Small,1234965000
Docker,Thailand,5,115661,Medium,1734915000
Node.js,Thailand,5,115661,Medium,1734915000
JavaScript,Thailand,5,115661,Medium,1734915000
Vue.js,Singapore,3,90611,Large,1359165000
AWS,Singapore,3,90611,Large,1359165000
Git,Singapore,3,90611,Large,1359165000
Express.js,Singapore,3,90611,Large,1359165000
Angular,Singapore,3,90611,Large,1359165000
TypeScript,Singapore,3,90611,Large,1359165000
Docker,Singapore,3,90611,Large,1359165000
JavaScript,Singapore,3,90611,Large,1359165000
JavaScript,Indonesia,13,56694,Small,850410000
Vue.js,Indonesia,13,56694,Small,850410000
Docker,Indonesia,13,56694,Small,850410000
Kubernetes,Indonesia,13,56694,Small,850410000
PostgreSQL,Indonesia,13,56694,Small,850410000
Linux,Indonesia,13,56694,Small,850410000
PostgreSQL,Indonesia,11,32694,Small,490410000
TypeScript,Indonesia,11,32694,Small,490410000
C++,Indonesia,11,32694,Small,490410000
C#,Indonesia,11,32694,Small,490410000
Django,Malaysia,2,18842,Large,282630000
JavaScript,Malaysia,2,18842,Large,282630000
Vue.js,Malaysia,2,18842,Large,282630000
Java,Malaysia,2,18842,Large,282630000
Kubernetes,Malaysia,2,18842,Large,282630000
Azure,Malaysia,2,18842,Large,282630000
Git,Malaysia,2,18842,Large,282630000
Laravel,Malaysia,8,45003,Small,675045000
Docker,Malaysia,8,45003,Small,675045000
Azure,Malaysia,8,45003,Small,675045000
Git,Malaysia,8,45003,Small,675045000
Spring Boot,Malaysia,13,80620,Small,1209300000
Python,Malaysia,13,80620,Small,1209300000
AWS,Malaysia,13,80620,Small,1209300000
Azure,Singapore,9,32247,Small,483705000
Git,Singapore,9,32247,Small,483705000
Laravel,Singapore,9,32247,Small,483705000
Spring Boot,Singapore,9,32247,Small,483705000
PostgreSQL,Singapore,9,32247,Small,483705000
React,Thailand,11,60209,Small,903135000
Angular,Thailand,11,60209,Small,903135000
Docker,Thailand,11,60209,Small,903135000
Linux,Thailand,11,60209,Small,903135000
Azure,Thailand,11,60209,Small,903135000
